GENE,NCBI GeneID
0610005C13Rik,71661
0610010F05Rik,0
0610010K14Rik,0
0610012G03Rik,0
0610030E20Rik,68364
0610040B10Rik,67672
0610040J01Rik,0
1110002E22Rik,102634333
1110002J07Rik,68488
1110002L01Rik,100043040
1110004F10Rik,56372
1110006O24Rik,66123
1110019D14Rik,76311
1110032A03Rik,0
1110032F04Rik,68725
1110038B12Rik,68763
1110038F14Rik,117171
1110046J04Rik,68808
1110051M20Rik,0
1110059E24Rik,66206
1110059G10Rik,66202
1110065P20Rik,68920
1190007I07Rik,0
1190028D05Rik,330767
1300002E11Rik,100043489
1300017J02Rik,0
1500009L16Rik,69784
1500011B03Rik,66236
1500015A07Rik,68982
1500026H17Rik,69002
1500035N22Rik,70258
1600012H06Rik,67912
1600014C10Rik,72244
1600014C23Rik,72240
1600015H23Rik,105243551
1600020E01Rik,72012
1600029O15Rik,665268
1700001C19Rik,0
1700001G11Rik,69303
1700001G17Rik,67503
1700001J11Rik,72224
1700001K19Rik,66323
1700001L05Rik,69291
1700001O22Rik,73598
1700001P01Rik,0
1700003E16Rik,71837
1700003F12Rik,75480
1700003M07Rik,72225
1700007J10Rik,69320
1700007K13Rik,0
1700007L15Rik,100502742
1700007P06Rik,69308
1700008J07Rik,629159
1700008O03Rik,69349
1700010I14Rik,66931
1700010N08Rik,105247250
1700012D01Rik,72243
1700012D14Rik,0
1700013H16Rik,75514
1700017B05Rik,74211
1700019A02Rik,69397
1700019D03Rik,67080
1700020D05Rik,0
1700020L24Rik,66330
1700022N22Rik,69431
1700024G13Rik,67085
1700024J04Rik,105244158
1700025G04Rik,69399
1700028B04Rik,70001
1700028J19Rik,70004
1700029I15Rik,0
1700029J07Rik,0
1700029P11Rik,0
1700030C10Rik,69513
1700030J22Rik,69528
1700030K09Rik,72254
1700030L20Rik,70055
1700034H15Rik,98736
1700037C18Rik,73261
1700037H04Rik,0
1700041A01Rik,73312
1700042O10Rik,73321
1700047E10Rik,74328
1700048M11Rik,100503166
1700048O20Rik,69430
1700052K11Rik,73431
1700056E22Rik,73363
1700063D05Rik,78500
1700063H04Rik,74269
1700066C05Rik,78654
1700066M21Rik,73467
1700067K01Rik,73453
1700071K01Rik,237880
1700084D21Rik,76720
1700084J12Rik,73486
1700086O06Rik,73516
1700088E04Rik,27660
1700092C10Rik,73554
1700092M07Rik,0
1700094D03Rik,0
1700095B10Rik,67360
1700095J07Rik,115490402
1700096K18Rik,73571
1700097N02Rik,67522
1700101I11Rik,100504641
1700102P08Rik,112418
1700109H08Rik,77036
1700109K24Rik,74303
1700110C19Rik,76634
1700113A16Rik,76642
1700120B22Rik,641387
1700120C14Rik,73600
1700120K04Rik,68232
1700123M08Rik,100503636
1700123O20Rik,58248
1700124L16Rik,67934
1700128F08Rik,76669
1810009A15Rik,66276
1810010H24Rik,69066
1810013L24Rik,0
1810014B01Rik,66263
1810019D21Rik,69771
1810021B22Rik,69120
1810030O07Rik,69155
1810034E14Rik,66503
1810037I17Rik,0
1810044D09Rik,69798
1810055G02Rik,72056
1810058I24Rik,0
1810062O18Rik,75602
2010001A14Rik,76516
2010204K13Rik,68355
2010315B03Rik,630836
2010320M18Rik,72093
2200002D01Rik,72275
2210016F16Rik,0
2210016L21Rik,72357
2210039B01Rik,73644
2210408I21Rik,72371
2300009A05Rik,69478
2310009B15Rik,69549
2310010J17Rik,78329
2310011J03Rik,66374
2310015A10Rik,69548
2310022A10Rik,66367
2310022B05Rik,69551
2310030G06Rik,66952
2310033P09Rik,67862
2310034G01Rik,75579
2310034O05Rik,69571
2310039H08Rik,0
2310039L15Rik,69629
2310040G24Rik,381792
2310043M15Rik,102633000
2310057M21Rik,68277
2310061I04Rik,69662
2310068J16Rik,70281
2400006E01Rik,78648
