,Gene_set,Term,Odds Ratio,Genes,Cluster,Count,-log10(adj p-value)
0,GO_Biological_Process_2023,piRNA Processing ,31.57051282051282,TDRD1;PIWIL4;MAEL;FKBP6,0,4,1.9759417418581902
1,GO_Biological_Process_2023,RNA-mediated Gene Silencing ,16.980676328502415,PIWIL2;TDRD1;PIWIL4;MAEL;FKBP6,0,5,1.9759417418581902
2,GO_Biological_Process_2023,Regulation Of T Cell Proliferation ,11.879227053140095,CD6;IL23A;PLA2G5;CD3E;ZP3,0,5,1.5036413128838717
3,GO_Biological_Process_2023,T Cell Migration ,35.354066985645936,CXCL10;ZAP70;MYO1G,0,3,1.3793254360750165
4,GO_Molecular_Function_2023,Aspartic-Type Peptidase Activity ,35.354066985645936,NAPSA;PGC;PGA5,0,3,1.4649544386733835
5,GO_Molecular_Function_2023,Aspartic-Type Endopeptidase Activity ,23.564593301435405,NAPSA;PGC;PGA5,0,3,1.3614679824734492
6,GO_Biological_Process_2023,Negative Regulation Of Membrane Protein Ectodomain Proteolysis ,138.13888888888889,TIMP3;TIMP1,1,2,1.3300621366556926
7,GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity ,26.22887323943662,TIMP3;TIMP1;SORL1,1,3,1.3300621366556926
8,GO_Biological_Process_2023,Regulation Of Triglyceride Catabolic Process ,103.59722222222224,SORL1;PNPLA2,1,2,1.3300621366556926
9,GO_Biological_Process_2023,Diacylglycerol Biosynthetic Process ,103.59722222222224,DGAT2;PNPLA2,1,2,1.3300621366556926
10,GO_Biological_Process_2023,Negative Regulation Of Chemotaxis ,24.2080173347779,DUSP3;SEMA4D;SEMA4G,1,3,1.3300621366556926
11,GO_Molecular_Function_2023,Phospholipase Inhibitor Activity ,82.87222222222222,ANXA2;ANXA4,1,2,1.5023508770539338
12,GO_Molecular_Function_2023,Glutathione Binding ,69.05555555555556,GSTM1;PTGES,1,2,1.5023508770539338
13,GO_Molecular_Function_2023,Calcium-Dependent Phospholipid Binding ,19.661091549295776,ANXA2;ANXA3;ANXA4,1,3,1.5023508770539338
14,GO_Molecular_Function_2023,Metalloendopeptidase Inhibitor Activity ,46.02777777777778,TIMP3;TIMP1,1,2,1.347461101050531
15,GO_Molecular_Function_2023,Receptor Ligand Activity ,6.363871635610766,JAG2;SEMA4D;SEMA4G;TIMP1;HBEGF,1,5,1.3394721691987639
16,KEGG_2019_Mouse,Fructose and mannose metabolism,25.178028169014084,PFKFB3;SORD;HK1,1,3,1.434961155735866
17,KEGG_2019_Mouse,Pyruvate metabolism,19.661091549295776,ACSS2;PCX;ACAT1,1,3,1.434961155735866
18,WikiPathways_2019_Mouse,Prostaglandin Synthesis and Regulation WP374,34.985915492957744,ANXA2;ANXA3;ANXA4,1,3,2.2508225747234563
19,WikiPathways_2019_Mouse,Fatty Acid Beta Oxidation WP1269,22.47585513078471,ACSS2;ACAT1;PNPLA2,1,3,2.0383575547196586
20,WikiPathways_2019_Mouse,Lung fibrosis WP3632,19.064020486555695,CEBPB;TIMP1;ATP11A,1,3,2.021161393092819
21,WikiPathways_2019_Mouse,Matrix Metalloproteinases WP441,31.85683760683761,TIMP3;TIMP1,1,2,1.627245739721749
22,WikiPathways_2019_Mouse,Triacylglyceride Synthesis WP386,25.87847222222222,DGAT2;PNPLA2,1,2,1.5648096316827615
23,GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome ",8.255872063968017,SF3B4;ISY1;RBM8A;SF3B6;DDX23;SRSF1;PQBP1;SART3;PUF60;TRA2B;MAGOH;MTREX;SMN1;RBM10;DDX17;PRMT7;SF3A2;NCBP1;NCBP2;CWC15;LSM3;SRRM1;SRPK1;LSM2;SNRNP40;DDX39A;RSRP1;STRAP;PPIE;RBM42;PRPF31;SNRPA,2,32,13.50704084968038
24,GO_Biological_Process_2023,Chromatin Organization ,7.12378223495702,INO80E;EHMT1;PSIP1;DDX21;NUCKS1;YEATS4;HIRA;SART3;HIRIP3;RBBP4;MTA2;SS18;KDM4A;DAXX;CHTOP;TCF7L1;PIH1D1;MCRS1;PCGF2;CBX1;DEK;BAZ1B;ARID1A;SAFB;GATAD2A;REST;RYBP;MTF2;HAT1;POLE3;TOP1,2,31,11.772782676376872
